Address,Parcel ID,Acres,Green Waste Pickup,Kupuna Pickup,Property Cleanup,Debris Removal,Wood Chipping,Wood Chip Delivery,Event,Fencing Support,Infrastucture / Drainage,Recycling Pickup,latitude,longitude,formatted_address,geocode_status
200 Alanuilili Pl,,1.22,x,,x,,,,,,,,20.775346025254,-156.305611476444,"200 Alanuilili Pl, Kula, Hawaii, 96790",success
165 Alanuilili Pl,,0.89,x,,x,,,x,,,,,20.774803548481,-156.304477069669,"165 Alanuilili Pl, Kula, Hawaii, 96790",success
175 Alanuilili Pl,,0.93,,,,x,,,,,,,20.774515169102,-156.304657783501,"175 Alanuilili Pl, Kula, Hawaii, 96790",success
185 Alanuilili Pl,,0.86,x,,,x,,,,,,,20.775212543446,-156.305040920295,"185 Alanuilili Pl, Kula, Hawaii, 96790",success
205 Alanuilili Pl,,1.0,x,,x,x,,x,,x,x,x,20.77432318161,-156.305344848104,"205 Alanuilili Pl, Kula, Hawaii, 96790",success
215 Alanuilili Pl,,1.83,x,,x,x,x,x,,x,,,20.774882170733,-156.305710215264,"215 Alanuilili Pl, Kula, Hawaii, 96790",success
180 Alanuilili Pl,,2.88,,,x,x,,x,,,,,20.776095157851,-156.305067239471,"180 Alanuilili Pl, Kula, Hawaii, 96790",success
82 Upper Kimo Dr,,0.28,,,x,,x,,,,,,20.779849118916,-156.307398246744,"82 Upper Kimo Dr, Kula, Hawaii, 96790",success
175 Upper Kimo Dr,,1.27,,,x,,x,,,,,,20.779438070385,-156.306082707041,"175 Upper Kimo Dr, Kula, Hawaii, 96790",success
908 Upper KImo Dr,,2.93,,,x,,x,,,,,,20.775325573411,-156.299496961897,"908 Upper Kimo Dr, Kula, Hawaii, 96790",success
712 Upper Kimo Dr,,2.34,,,,,,,,x,,,20.773733724269,-156.302415624402,"712 Upper Kimo Dr, Kula, Hawaii, 96790",success
624 Upper Kimo Dr,,9.42,x,,x,x,x,x,,,,,20.773308971326,-156.305305704617,"624 Upper Kimo Dr, Kula, Hawaii, 96790",success
15427 Haleakala Hwy,,4.05,x,,x,x,x,x,x,,,,20.774895120773,-156.307137318099,"15427 Haleakala Hwy, Kula, Hawaii, 96790",success
15465 Haleakala Hwy,,4.57,x,,x,x,x,x,x,x,x,x,20.773689300182,-156.306573551291,"15465 Haleakala Hwy, Kula, Hawaii, 96790",success
16290 Haleakala Hwy,,7.91,x,,x,x,x,x,,,x,x,20.768461716719,-156.304179093011,"16290 Haleakala Hwy, Kula, Hawaii, 96790",success
15531 Haleakala Hwy,,0.74,x,,x,x,,x,,,x,x,20.773286507825,-156.307497404659,"15531 Haleakala Hwy, Kula, Hawaii, 96790",success
15601 Haleakala Hwy,,0.52,x,,,,,,,,,,20.772184287557,-156.307288443813,"15601 Haleakala Hwy, Kula, Hawaii, 96790",success
15665 Haleakala Hwy,,1.79,x,,x,,,,,,x,x,20.771385534094,-156.306836491594,"15665 Haleakala Hwy, Kula, Hawaii, 96790",success
15685 Haleakala Hwy,,0.94,x,,x,x,x,,,,x,,20.771151762815,-156.306599116096,"15685 Haleakala Hwy, Kula, Hawaii, 96790",success
16740 Haleakala Hwy,,2.63,,,,,,,,,,,20.766392769649,-156.302755342937,"16740 Haleakala Hwy, Kula, Hawaii, 96790",success
16865 Haleakala Hwy,,2.04,x,,x,x,x,x,x,,,,20.767330997981,-156.300852818555,"16865 Haleakala Hwy, Kula, Hawaii, 96790",success
11 Kualono Pl,,1.11,x,,x,x,x,x,,,,,20.772764315257,-156.307406041914,"11 Kualono Pl, Kula, Hawaii, 96790",success
40 Kualono Pl,,1.22,x,,x,x,x,x,x,,,,20.772289061347,-156.306044401743,"40 Kualono Pl, Kula, Hawaii, 96790",success
20 Kualono Pl,,0.82,x,,x,x,,,,,x,x,20.771919670874,-156.306948892915,"20 Kualono Pl, Kula, Hawaii, 96790",success
35 Palena Pl,,0.629,x,,x,,,,,,,,20.770460968265,-156.306149929904,"35 Palena Pl, Kula, Hawaii, 96790",success
30 Palena Pl,,0.52,,,x,,x,,,,,,20.7705020815,-156.305415088453,"30 Palena Pl, Kula, Hawaii, 96790",success
15680 Haleakala Hwy,,10.07,x,,x,x,x,x,,,,x,20.770351039604,-156.312264695909,"15680 Haleakala Hwy, Kula, Hawaii, 96790",success
15700 Haleakala Hwy,,1.03,x,,x,x,x,x,,,,x,20.770667121173,-156.307135390261,"15700 Haleakala Hwy, Kula, Hawaii, 96790",success
15712 Haleakala Hwy,,1.26,x,,x,,x,x,,,,,20.769250914813,-156.309442760567,"15712 Haleakala Hwy, Kula, Hawaii, 96790",success
15780 Haleakala Hwy,,1.17,,,x,,x,,,,,,20.770427440652,-156.307269165435,"15780 Haleakala Hwy, Kula, Hawaii, 96790",success
3095 Kekaulike Ave,,1.85,x,,,,,,,,,x,20.76821662987,-156.306374732548,"3095 Kekaulike Ave, Kula, Hawaii, 96790",success
15325 Haleakala Hwy,,1.5,x,,x,x,x,x,,,x,,20.775812520076,-156.306502053657,"15325 Haleakala Hwy, Kula, Hawaii, 96790",success
1575 Kamehameiki Rd,,6.04,x,x,x,x,,x,,,x,,20.760047920402,-156.307906357715,"1575 Kamehameiki Rd, Kula, Hawaii, 96790",success
1530 Kamehameiki Rd,,2.34,x,,x,,x,,,,x,,20.759935812447,-156.308467107037,"1530 Kamehameiki Rd, Kula, Hawaii, 96790",success
113 Puanani Pl,,4.04,x,,x,,x,,,,,,20.768146146462,-156.307488235774,"113 Puanani Pl, Kula, Hawaii, 96790",success
3001 Kekaulike Ave,,8.49,x,,x,,x,,,,,,20.765865380301,-156.307261454085,"3001 Kekaulike Ave, Kula, Hawaii, 96790",success
2450 Kekaulike Ave,,0.54,,,x,,,,,,,,20.758857690151,-156.30704629063,"2450 Kekaulike Ave, Kula, Hawaii, 96790",success
2520 Kekaulike Ave,,1.48,,,x,,x,,,,,x,20.759233660418,-156.30661428734,"2520 Kekaulike Ave, Kula, Hawaii, 96790",success
2315 Kekaulike Ave,,4.0,,,,,,,,,,x,20.757056963983,-156.307689936975,"2315 Kekaulike Ave, Kula, Hawaii, 96790",success
1590 Kamehameiki Rd,,0.5,x,x,x,,x,,,,,,20.759597644564,-156.307876434321,"1590 Kamehameiki Rd, Kula, Hawaii, 96790",success
1520 Kamehameiki Rd,,0.54,x,,,,,,,,,x,20.760241584275,-156.308900199974,"1520 Kamehameiki Rd, Kula, Hawaii, 96790",success
1462 Kamehameiki Rd,,2.09,,,x,x,x,,,,,x,20.760069294255,-156.309920277591,"1462 Kamehameiki Rd, Kula, Hawaii, 96790",success
382 Kulalani Dr,,0.39,x,,x,x,x,x,,,,,20.774052781413,-156.308254039059,"382 Kulalani Dr, Kula, Hawaii, 96790",success
371 Kulalani Dr,,1.06,x,x,x,x,x,x,,x,x,,20.775519404921,-156.307689266423,"371 Kulalani Dr, Kula, Hawaii, 96790",success
360 Kulalani Dr,,0.46,,,x,x,x,x,,,,,20.774014392297,-156.308259319658,"360 Kulalani Dr, Kula, Hawaii, 96790",success
