address_key,Address,latitude,longitude,formatted_address,geocode_status
200 alanuilili pl,200 Alanuilili Pl,20.775346025254,-156.305611476444,"200 Alanuilili Pl, Kula, Hawaii, 96790",success
165 alanuilili pl,165 Alanuilili Pl,20.774803548481,-156.304477069669,"165 Alanuilili Pl, Kula, Hawaii, 96790",success
175 alanuilili pl,175 Alanuilili Pl,20.774515169102,-156.304657783501,"175 Alanuilili Pl, Kula, Hawaii, 96790",success
185 alanuilili pl,185 Alanuilili Pl,20.775212543446,-156.305040920295,"185 Alanuilili Pl, Kula, Hawaii, 96790",success
205 alanuilili pl,205 Alanuilili Pl,20.77432318161,-156.305344848104,"205 Alanuilili Pl, Kula, Hawaii, 96790",success
215 alanuilili pl,215 Alanuilili Pl,20.774882170733,-156.305710215264,"215 Alanuilili Pl, Kula, Hawaii, 96790",success
180 alanuilili pl,180 Alanuilili Pl,20.776095157851,-156.305067239471,"180 Alanuilili Pl, Kula, Hawaii, 96790",success
82 upper kimo dr,82 Upper Kimo Dr,20.779849118916,-156.307398246744,"82 Upper Kimo Dr, Kula, Hawaii, 96790",success
175 upper kimo dr,175 Upper Kimo Dr,20.779438070385,-156.306082707041,"175 Upper Kimo Dr, Kula, Hawaii, 96790",success
908 upper kimo dr,908 Upper KImo Dr,20.775325573411,-156.299496961897,"908 Upper Kimo Dr, Kula, Hawaii, 96790",success
712 upper kimo dr,712 Upper Kimo Dr,20.773733724269,-156.302415624402,"712 Upper Kimo Dr, Kula, Hawaii, 96790",success
624 upper kimo dr,624 Upper Kimo Dr,20.773308971326,-156.305305704617,"624 Upper Kimo Dr, Kula, Hawaii, 96790",success
15427 haleakala hwy,15427 Haleakala Hwy,20.774895120773,-156.307137318099,"15427 Haleakala Hwy, Kula, Hawaii, 96790",success
15465 haleakala hwy,15465 Haleakala Hwy,20.773689300182,-156.306573551291,"15465 Haleakala Hwy, Kula, Hawaii, 96790",success
16290 haleakala hwy,16290 Haleakala Hwy,20.768461716719,-156.304179093011,"16290 Haleakala Hwy, Kula, Hawaii, 96790",success
15531 haleakala hwy,15531 Haleakala Hwy,20.773286507825,-156.307497404659,"15531 Haleakala Hwy, Kula, Hawaii, 96790",success
15601 haleakala hwy,15601 Haleakala Hwy,20.772184287557,-156.307288443813,"15601 Haleakala Hwy, Kula, Hawaii, 96790",success
15665 haleakala hwy,15665 Haleakala Hwy,20.771385534094,-156.306836491594,"15665 Haleakala Hwy, Kula, Hawaii, 96790",success
15685 haleakala hwy,15685 Haleakala Hwy,20.771151762815,-156.306599116096,"15685 Haleakala Hwy, Kula, Hawaii, 96790",success
16740 haleakala hwy,16740 Haleakala Hwy,20.766392769649,-156.302755342937,"16740 Haleakala Hwy, Kula, Hawaii, 96790",success
16865 haleakala hwy,16865 Haleakala Hwy,20.767330997981,-156.300852818555,"16865 Haleakala Hwy, Kula, Hawaii, 96790",success
11 kualono pl,11 Kualono Pl,20.772764315257,-156.307406041914,"11 Kualono Pl, Kula, Hawaii, 96790",success
40 kualono pl,40 Kualono Pl,20.772289061347,-156.306044401743,"40 Kualono Pl, Kula, Hawaii, 96790",success
20 kualono pl,20 Kualono Pl,20.771919670874,-156.306948892915,"20 Kualono Pl, Kula, Hawaii, 96790",success
35 palena pl,35 Palena Pl,20.770460968265,-156.306149929904,"35 Palena Pl, Kula, Hawaii, 96790",success
30 palena pl,30 Palena Pl,20.7705020815,-156.305415088453,"30 Palena Pl, Kula, Hawaii, 96790",success
15680 haleakala hwy,15680 Haleakala Hwy,20.770351039604,-156.312264695909,"15680 Haleakala Hwy, Kula, Hawaii, 96790",success
15700 haleakala hwy,15700 Haleakala Hwy,20.770667121173,-156.307135390261,"15700 Haleakala Hwy, Kula, Hawaii, 96790",success
15712 haleakala hwy,15712 Haleakala Hwy,20.769250914813,-156.309442760567,"15712 Haleakala Hwy, Kula, Hawaii, 96790",success
15780 haleakala hwy,15780 Haleakala Hwy,20.770427440652,-156.307269165435,"15780 Haleakala Hwy, Kula, Hawaii, 96790",success
